Signature,C_mean,p_value,q_value
gTOL1,0.8346570270608782,0.0,0.0
gTOL2,0.9040760950467693,0.0,0.0
gTOL3,0.8424313288571543,0.0,0.0
gTOL4,0.5302398590669798,0.0,0.0
gTOL5,0.40769919817302674,0.0,0.0
gTOL6,0.5430145020801038,0.0,0.0
gTOL7,0.0856964396775458,0.007,0.0105
gTOL8,0.006702561566952971,0.039,0.0468
gTOL9,0.021705661964882855,0.007,0.0105
gTOL10,-0.0014189695042785314,0.285,0.285
gTOL11,0.0010804437432079175,0.086,0.09381818181818181
gTOL12,0.007639211086411788,0.029,0.03866666666666667
