Sample,Common name,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
iHemFuc1,Broad-bordered bee hawk-moth,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hemaris,Hemaris fuciformis
bAccGen1,Northern goshawk,Eukaryota,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis
ddAraThal4,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana
drMalDome10,Apple,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus domestica
drMalDome11,Apple,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus domestica
drMalDome5,Apple,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus domestica
drMalSylv7,.,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus sylvestris
eaMarGlac1,Spiny starfish,Eukaryota,Metazoa,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Marthasterias,Marthasterias glacialis
fBarBab1,Barbel,Eukaryota,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Barbus,Barbus barbus
fPhoGun1,Rock gunnel,Eukaryota,Metazoa,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus
fSynAcu2,Greater pipefish,Eukaryota,Metazoa,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus acus
fTauBub2,Long-spined sea scorpion,Eukaryota,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Taurulus,Taurulus bubalis
fTraTra1,Atlantic horse mackerel,Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus trachurus
gfFlaVelt1,Velvet shank,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,Flammulina velutipes
gfLaeSulp1,Chicken of the woods,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,Laetiporus sulphureus
gfPleOstr1,Oyster mushroom,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus ostreatus
icAdaBipu1,2-spot ladybird,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Coccinellidae,Adalia,Adalia bipunctata
icApoCory1,Hazel leaf-roller,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Attelabidae,Apoderus,Apoderus coryli
icCanRust1,Sailor beetle,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis rustica
