Signature,C_mean,p_value,q_value
sTOL1,0.38568559218952025,0.0,0.0
sTOL2,0.2010806285249429,0.0,0.0
sTOL3,0.20345458329022245,0.0,0.0
sTOL4,0.7759195328791839,0.0,0.0
sTOL5,0.4435744950872958,0.0,0.0
sTOL6,0.14725625438211018,0.0,0.0
sTOL7,-0.002318401466169154,0.528,0.5765517241379311
sTOL8,0.02885305560719244,0.081,0.16372340425531917
sTOL9,0.5474614575549182,0.0,0.0
sTOL10,0.45992838143356307,0.0,0.0
sTOL11,0.0817278805251873,0.009,0.03166666666666666
sTOL12,0.1711748270369686,0.0,0.0
sTOL13,0.5743332701649596,0.0,0.0
sTOL14,0.2782106430897018,0.0,0.0
sTOL15,0.459582454001968,0.0,0.0
sTOL16,0.13546852595326714,0.001,0.0059375
sTOL17,0.12163534146077715,0.002,0.01
sTOL18,0.4975002600946917,0.0,0.0
sTOL19,0.10842160540866892,0.004,0.01652173913043478
sTOL20,0.026460951337027732,0.06,0.14250000000000002
sTOL21,0.0755523082941031,0.017,0.04893939393939394
sTOL22,0.07612516967780132,0.013,0.041166666666666664
sTOL23,0.059118205827806344,0.013,0.041166666666666664
sTOL24,0.4430696298356245,0.0,0.0
sTOL25,-0.0052389379276210355,0.511,0.5644767441860465
sTOL26,0.002082113361058222,0.197,0.30185483870967744
sTOL27,0.011481442676793963,0.039,0.09749999999999999
sTOL28,0.0013639663903599775,0.188,0.29278688524590163
sTOL29,0.05822809361692851,0.009,0.03166666666666666
sTOL30,0.02669204965478251,0.031,0.08414285714285714
sTOL31,0.09746977827680176,0.008,0.030400000000000003
sTOL32,0.006146330413986514,0.09,0.1748
sTOL33,0.09103935236131687,0.004,0.01652173913043478
sTOL34,0.03275744963884412,0.016,0.04893939393939394
sTOL35,0.00852498726011609,0.094,0.17509803921568629
sTOL36,0.013813089206459442,0.078,0.16108695652173913
sTOL37,-0.002069622054032842,0.928,0.928
sTOL38,0.049221764505946085,0.004,0.01652173913043478
sTOL39,0.03551383101406426,0.008,0.030400000000000003
sTOL40,0.0011969831513795005,0.221,0.328046875
sTOL41,0.008647585691928495,0.069,0.15833333333333335
sTOL42,-0.0012882935564095574,0.31,0.4034246575342466
sTOL43,-0.00236143575863644,0.556,0.5934831460674158
sTOL44,0.010815315147953478,0.072,0.15906976744186044
sTOL45,0.008838748464116272,0.07,0.15833333333333335
sTOL46,0.003495374956839869,0.092,0.1748
sTOL47,0.007043802640546178,0.074,0.15977272727272726
sTOL48,0.005870650401344055,0.1,0.17924528301886794
sTOL49,-0.0008946993121489695,0.294,0.39338028169014083
sTOL50,-0.006517518014268732,0.68,0.6946236559139786
sTOL51,0.0004965718769940335,0.307,0.4034246575342466
sTOL52,0.09885864698224023,0.003,0.01425
sTOL53,-0.0024317341362783498,0.33,0.4236486486486487
sTOL54,-0.002004842999167205,0.6,0.6263736263736264
sTOL55,0.07830617928654855,0.001,0.0059375
sTOL56,0.005498268450870581,0.077,0.16108695652173913
sTOL57,0.0007183519175598392,0.145,0.2375
sTOL58,0.00400309734727567,0.127,0.21166666666666667
sTOL59,-0.0011937329699007158,0.374,0.4555128205128205
sTOL60,0.0013482214831056266,0.215,0.3242063492063492
sTOL61,0.004733611755412255,0.169,0.2721186440677966
sTOL62,-0.0014584619505410435,0.434,0.5125308641975309
sTOL63,0.0017665687525348708,0.109,0.18827272727272726
sTOL64,-0.0016455388275638764,0.293,0.39338028169014083
sTOL65,-0.001456844520238854,0.367,0.4527922077922078
sTOL66,-0.002863687876534625,0.454,0.5196385542168674
sTOL67,-0.002236756982836777,0.573,0.6048333333333333
sTOL68,-0.001905547150979757,0.437,0.5125308641975309
sTOL69,-0.0013308921337007594,0.347,0.43374999999999997
sTOL70,0.011946425019655633,0.035,0.09236111111111112
sTOL71,0.03567765863989266,0.013,0.041166666666666664
sTOL72,0.008821527599719539,0.039,0.09749999999999999
sTOL73,0.2064991684306492,0.002,0.01
sTOL74,0.0008830316638309713,0.121,0.20526785714285717
sTOL75,-0.0026647013313521374,0.483,0.54625
sTOL76,0.0070216118295978085,0.056,0.13641025641025642
sTOL77,0.017793719595916826,0.017,0.04893939393939394
sTOL78,0.010189413477143515,0.021,0.058676470588235295
sTOL79,-0.0009261911850107213,0.291,0.39338028169014083
sTOL80,-0.0020248366266744336,0.506,0.5644767441860465
sTOL81,-0.0009675638843154874,0.272,0.38
sTOL82,0.000763135860963514,0.251,0.3558955223880597
sTOL83,0.06774199516146881,0.002,0.01
sTOL84,-0.001753965305693587,0.449,0.5196385542168674
sTOL85,0.003275581509433873,0.102,0.17944444444444443
sTOL86,-0.001451076768652113,0.399,0.4798101265822785
sTOL87,0.0017683814103537328,0.091,0.1748
sTOL88,-0.0019171584876718811,0.707,0.7145212765957447
sTOL89,0.00046158514156564883,0.18,0.28500000000000003
sTOL90,-0.001635591729120928,0.555,0.5934831460674158
sTOL91,-0.00221390837978384,0.651,0.6722282608695652
sTOL92,-0.0008069973839071103,0.25,0.3558955223880597
sTOL93,0.004625889038552566,0.098,0.17903846153846154
sTOL94,-0.0012066832316399978,0.251,0.3558955223880597
sTOL95,-0.0013871156568542936,0.337,0.42686666666666667
