Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
bAccGen1	bAccGen1	Accipiter gentilis	northern goshawk	56259	Eukaryota	Metazoa	Chordata	Craniata	Aves	Sarcopterygii	Neognathae	Accipitriformes
bAnaAcu1	bAnaAcu1	Anas acuta	northern pintail	8830	Eukaryota	Metazoa	Chordata	Craniata	Aves	Sarcopterygii	Neognathae	Galloanserae
bAnsBra1	bAnsBra1	Anser brachyrhynchus	pink footed goose	8830	Eukaryota	Metazoa	Chordata	Craniata	Aves	Sarcopterygii	Neognathae	Galloanserae
bCinCin1	bCinCin1	Cinclus cinclus	white throated dipper	127873	Eukaryota	Metazoa	Chordata	Craniata	Aves	Sarcopterygii	Neognathae	Passeriformes
bClaHye2	bClaHye2	Clangula hyemalis	long tailed duck	8830	Eukaryota	Metazoa	Chordata	Craniata	Aves	Sarcopterygii	Neognathae	Galloanserae
bFriCoe1	bFriCoe1	Fringilla coelebs	chaffinch	9133	Eukaryota	Metazoa	Chordata	Craniata	Aves	Sarcopterygii	Neognathae	Passeriformes
bLarFus1	bLarFus1	Larus fuscus	lesser black backed gull	8910	Eukaryota	Metazoa	Chordata	Craniata	Aves	Sarcopterygii	Neognathae	Charadriiformes
bPhaCar2	bPhaCar2	Phalacrocorax carbo	great cormorant	9206	Eukaryota	Metazoa	Chordata	Craniata	Aves	Sarcopterygii	Neognathae	Suliformes
bTetUro1	bTetUro1	Tetrao urogallus	western capercaillie	9005	Eukaryota	Metazoa	Chordata	Craniata	Aves	Sarcopterygii	Neognathae	Galloanserae
daAjuCham1	daAjuCham1	Ajuga chamaepitys	.	4136	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Lamiales
daArcMinu1	daArcMinu1	Arctium minus	.	4210	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Asterales
daBalNigr1	daBalNigr1	Ballota nigra	.	4136	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Lamiales
daGnaUlig1	daGnaUlig1	Gnaphalium uliginosum	.	4210	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Asterales
