
code	|	taxid	|	primary taxid	|	taxname
1	|	56259	|	56259	|	Accipitridae
1	|	8830	|	8830	|	Anatidae
1	|	8830	|	8830	|	Anatidae
1	|	127873	|	127873	|	Cinclidae
1	|	8830	|	8830	|	Anatidae
1	|	9133	|	9133	|	Fringillidae
1	|	8910	|	8910	|	Laridae
1	|	9206	|	9206	|	Phalacrocoracidae
1	|	9005	|	9005	|	Phasianidae
1	|	4136	|	4136	|	Lamiaceae
1	|	4210	|	4210	|	Asteraceae
1	|	4136	|	4136	|	Lamiaceae
1	|	4210	|	4210	|	Asteraceae
1	|	4144	|	4144	|	Oleaceae
1	|	156152	|	156152	|	Plantaginaceae
1	|	156152	|	156152	|	Plantaginaceae
1	|	4210	|	4210	|	Asteraceae
1	|	4210	|	4210	|	Asteraceae
1	|	4136	|	4136	|	Lamiaceae
1	|	4136	|	4136	|	Lamiaceae
1	|	4070	|	4070	|	Solanaceae
1	|	21910	|	21910	|	Verbenaceae
1	|	3568	|	3568	|	Caryophyllaceae
1	|	1804623	|	1804623	|	Chenopodiaceae
1	|	3615	|	3615	|	Polygonaceae
1	|	1804623	|	1804623	|	Chenopodiaceae
1	|	3568	|	3568	|	Caryophyllaceae
1	|	3568	|	3568	|	Caryophyllaceae
1	|	3700	|	3700	|	Brassicaceae
1	|	3700	|	3700	|	Brassicaceae
1	|	3977	|	3977	|	Euphorbiaceae
1	|	3977	|	3977	|	Euphorbiaceae
1	|	3700	|	3700	|	Brassicaceae
1	|	3688	|	3688	|	Salicaceae
1	|	4335	|	4335	|	Primulaceae
1	|	3688	|	3688	|	Salicaceae
1	|	24921	|	24921	|	Violaceae
1	|	3514	|	3514	|	Betulaceae
1	|	41773	|	41773	|	Berberidaceae
1	|	23808	|	23808	|	Simaroubaceae
1	|	3803	|	3803	|	Fabaceae
1	|	4000	|	4000	|	Buxaceae
1	|	3934	|	3934	|	Onagraceae
1	|	3745	|	3745	|	Rosaceae
1	|	4027	|	4027	|	Geraniaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3745	|	3745	|	Rosaceae
1	|	4050	|	4050	|	Araliaceae
1	|	4294	|	4294	|	Aquifoliaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3803	|	3803	|	Fabaceae
1	|	3803	|	3803	|	Fabaceae
1	|	3499	|	3499	|	Urticaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3745	|	3745	|	Rosaceae
1	|	3803	|	3803	|	Fabaceae
1	|	3803	|	3803	|	Fabaceae
1	|	3781	|	3781	|	Crassulaceae
1	|	3499	|	3499	|	Urticaceae
1	|	60582	|	60582	|	Luidiidae
1	|	7600	|	7600	|	Asteriidae
1	|	35072	|	35072	|	Antedonidae
1	|	2743726	|	2743726	|	Leuciscidae
1	|	7900	|	7900	|	Acipenseridae
1	|	7953	|	7953	|	Cyprinidae
1	|	278171	|	278171	|	Nemacheilidae
1	|	56718	|	56718	|	Blenniidae
1	|	7953	|	7953	|	Cyprinidae
1	|	8189	|	8189	|	Mugilidae
1	|	7941	|	7941	|	Congridae
1	|	8101	|	8101	|	Cyclopteridae
1	|	2743709	|	2743709	|	Danionidae
1	|	56735	|	56735	|	Trachinidae
1	|	27774	|	27774	|	Triglidae
1	|	2743714	|	2743714	|	Gobionidae
1	|	8220	|	8220	|	Gobiidae
1	|	84619	|	84619	|	Ammodytidae
1	|	8247	|	8247	|	Labridae
1	|	8247	|	8247	|	Labridae
1	|	56718	|	56718	|	Blenniidae
1	|	8045	|	8045	|	Gadidae
1	|	30948	|	30948	|	Soleidae
1	|	56724	|	56724	|	Pholidae
1	|	2743726	|	2743726	|	Leuciscidae
1	|	8256	|	8256	|	Pleuronectidae
1	|	8256	|	8256	|	Pleuronectidae
1	|	8045	|	8045	|	Gadidae
1	|	69291	|	69291	|	Gasterosteidae
1	|	2743726	|	2743726	|	Leuciscidae
1	|	52902	|	52902	|	Scophthalmidae
1	|	8224	|	8224	|	Scombridae
1	|	55118	|	55118	|	Clupeidae
1	|	2743726	|	2743726	|	Leuciscidae
1	|	8247	|	8247	|	Labridae
1	|	72045	|	72045	|	Syngnathidae
1	|	8092	|	8092	|	Cottidae
1	|	238703	|	238703	|	Telmatherinidae
1	|	8224	|	8224	|	Scombridae
1	|	8157	|	8157	|	Carangidae
1	|	31103	|	31103	|	Zeidae
1	|	5339	|	5339	|	Agaricaceae
1	|	40105	|	40105	|	Clavariaceae
1	|	862241	|	862241	|	Physalacriaceae
1	|	2028212	|	2028212	|	Laetiporaceae
1	|	104366	|	104366	|	Pleurotaceae
1	|	51005	|	51005	|	Hygrophoraceae
1	|	157478	|	157478	|	Lichinaceae
1	|	474943	|	474943	|	Cordycipitaceae
1	|	474943	|	474943	|	Cordycipitaceae
1	|	5129	|	5129	|	Hypocreaceae
1	|	27319	|	27319	|	Metschnikowiaceae
1	|	4854	|	4854	|	Mortierellaceae
1	|	34489	|	34489	|	Mucoraceae
1	|	7128	|	7128	|	Sphingidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	41073	|	41073	|	Carabidae
1	|	50527	|	50527	|	Buprestidae
1	|	30009	|	30009	|	Elateridae
1	|	219440	|	219440	|	Scraptiidae
1	|	122737	|	122737	|	Attelabidae
1	|	41097	|	41097	|	Cantharidae
1	|	41097	|	41097	|	Cantharidae
1	|	7055	|	7055	|	Scarabaeidae
1	|	27439	|	27439	|	Chrysomelidae
1	|	7080	|	7080	|	Coccinellidae
1	|	27439	|	27439	|	Chrysomelidae
1	|	186980	|	186980	|	Elmidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7080	|	7080	|	Coccinellidae
1	|	7065	|	7065	|	Tenebrionidae
1	|	41073	|	41073	|	Carabidae
1	|	34667	|	34667	|	Cerambycidae
1	|	27439	|	27439	|	Chrysomelidae
1	|	27439	|	27439	|	Chrysomelidae
1	|	186093	|	186093	|	Melyridae
1	|	7055	|	7055	|	Scarabaeidae
1	|	41073	|	41073	|	Carabidae
1	|	41073	|	41073	|	Carabidae
1	|	29026	|	29026	|	Staphylinidae
1	|	41073	|	41073	|	Carabidae
1	|	29026	|	29026	|	Staphylinidae
1	|	41097	|	41097	|	Cantharidae
1	|	7042	|	7042	|	Curculionidae
1	|	41073	|	41073	|	Carabidae
1	|	41073	|	41073	|	Carabidae
1	|	55098	|	55098	|	Pyrochroidae
1	|	41097	|	41097	|	Cantharidae
1	|	57514	|	57514	|	Silphidae
1	|	92616	|	92616	|	Acroceridae
1	|	34680	|	34680	|	Syrphidae
