,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
bAccGen1,0.0116465488496165,0.0900306768922974,0.177042014004668,0.708081360453484,0.00265621873957986,0.00184794931643881,0.00391797265755252,0.000529509836612204,0.000155385128376125,2.00066688896299e-06,0.000105035011670557,0.00348882960986996,5.23507835945315e-05,1.10036678892964e-05,0.00035511837279093,5.00166722240747e-05,1.83394464821607e-05,8.66955651883961e-06,1.00033344448149e-06
bAnaAcu1,0.00293533333333333,0.144396,0.130234666666667,0.672543333333333,0.036714,0.00794333333333333,0.002472,0.00230033333333333,0.000131,9.33333333333333e-06,8e-06,8.8e-05,3.96666666666667e-05,1.26666666666667e-05,2.4e-05,5.33333333333333e-05,2.1e-05,4.66666666666667e-06,6.93333333333333e-05
bAnsBra1,0.00285009993337775,0.124038307794803,0.180246835443038,0.674856762158561,0.0102348434377082,0.00488507661558961,0.00161558960692871,0.000872085276482345,0.000210859427048634,1.33244503664224e-06,2.99800133244504e-05,1.36575616255829e-05,5.2964690206529e-05,7.66155896069287e-06,1.46568954030646e-05,6.66222518321119e-07,2.36508994003997e-05,1.33244503664224e-05,3.16455696202532e-05
bCinCin1,0.00557128580946036,0.117898067954697,0.257279813457695,0.598030979347102,0.00634077281812125,0.0120672884743504,0.00151865423051299,0.00087508327781479,0.000110592938041306,1.79880079946702e-05,2.13191205862758e-05,6.39573617588274e-05,5.72951365756163e-05,3.9307128580946e-05,2.63157894736842e-05,2.83144570286476e-05,2.73151232511659e-05,2.66489007328448e-06,2.29846768820786e-05
bClaHye2,0.00366055351783928,0.121217072357452,0.149368122707569,0.695078692897633,0.0218296098699567,0.00507935978659553,0.0019839946648883,0.00117905968656219,0.00032810936978993,1.33377792597533e-06,1.06702234078026e-05,2.9676558852951e-05,0.000184061353784595,1.53384461487162e-05,5.66855618539513e-06,7.33577859286429e-06,0,4.00133377792598e-06,1.73391130376792e-05
bFriCoe1,0.00757495003331113,0.177775149900067,0.305900399733511,0.4937381745503,0.0072744836775483,0.00513590939373751,0.00118954030646236,0.000972684876748834,0.000147901399067288,2.96469020652898e-05,5.99600266489007e-05,4.4636908727515e-05,3.3311125916056e-05,6.69553630912725e-05,2.33177881412392e-06,3.53097934710193e-05,6.66222518321119e-07,1.53231179213857e-05,2.66489007328448e-06
bLarFus1,0.00268389463154385,0.0547695898632878,0.170098032677559,0.759335111703901,0.00502634211403801,0.00423407802600867,0.00287629209736579,0.000547515838612871,9.10303434478159e-05,3.90130043347783e-05,4.63487829276425e-05,2.9676558852951e-05,4.33477825941981e-05,1.46715571857286e-05,0.000130710236745582,1.00033344448149e-05,2.66755585195065e-06,1.60053351117039e-05,5.66855618539513e-06
bPhaCar2,0.00288170609796734,0.108532489170277,0.137046651116295,0.738810063312229,0.00415594801732756,0.00273975341552816,0.00437554148617128,0.000770409863378874,8.76374541819393e-05,1.13295568143952e-05,7.43085638120627e-05,0.00013295568143952,6.26457847384205e-05,6.4645118293902e-05,0.000144618460513162,3.39886704431856e-05,3.79873375541486e-05,2.69910029990003e-05,1.03298900366544e-05
bTetUro1,0.00269576807730756,0.133209596801066,0.12742052649117,0.722945018327224,0.0082265911362879,0.00172575808063979,0.00259113628790403,0.000458180606464512,0.000400533155614795,1.89936687770743e-05,1.53282239253582e-05,0.000177940686437854,1.69943352215928e-05,1.39953348883705e-05,4.33188937020993e-05,8.66377874041986e-06,6.99766744418527e-06,5.33155614795068e-06,1.93268910363212e-05
daAjuCham1,0.00450450150050017,0.197834944981661,0.318592197399133,0.0624451483827943,0.331576192064021,0.0517052350783595,0.00167755918639547,0.0304224741580527,0.000330776925641881,0,4.90163387795932e-05,8.56952317439146e-05,0.000267755918639547,7.20240080026676e-05,3.46782260753585e-05,1.33377792597533e-06,3.60120040013338e-05,1.80060020006669e-05,0.000346448816272091
daArcMinu1,0.0505344655344655,0.0950639360639361,0.200060939060939,0.0566393606393606,0.307250749250749,0.0114945054945055,0.00355444555444555,0.27444955044955,9.85680985680986e-05,1.4985014985015e-05,0.0001002331002331,9.22410922410922e-05,0.00013020313020313,2.0979020979021e-05,2.83050283050283e-05,3.4965034965035e-05,5.1948051948052e-05,5.39460539460539e-05,0.000325674325674326
daBalNigr1,0.00708633333333333,0.187530666666667,0.155314333333333,0.014238,0.426839,0.032633,0.00176666666666667,0.173309333333333,0.000472666666666667,1.13333333333333e-05,2.03333333333333e-05,5.46666666666667e-05,2.36666666666667e-05,0.000259666666666667,8e-06,6.66666666666667e-07,1e-06,0.000112666666666667,0.000318
daLigVulg1,0.00426766666666667,0.124082,0.222294666666667,0.021595,0.403168666666667,0.0823133333333333,0.00274333333333333,0.138968333333333,0.000323,2.33333333333333e-06,8.33333333333333e-06,7e-06,8.33333333333333e-05,9.36666666666667e-05,2.66666666666667e-06,2.8e-05,3.33333333333333e-07,2.66666666666667e-06,1.56666666666667e-05
daLinVulg1,0.00371,0.140224333333333,0.270495,0.003274,0.416109,0.023943,0.00288933333333333,0.138700333333333,0.000165666666666667,4.66666666666667e-06,4.9e-05,0.000111,0.000124,4.33333333333333e-05,7.8e-05,3.6e-05,3e-06,4.33333333333333e-06,3.6e-05
daMisOron1,0.00762703962703963,0.261836496836497,0.367607725607726,0.0975051615051615,0.255262071262071,0.00561471861471861,0.00265867465867466,0.00088011988011988,0.000420579420579421,1.7982017982018e-05,1.998001998002e-05,2.997002997003e-05,0.000246420246420246,0.00010955710955711,1.0989010989011e-05,2.66400266400266e-06,4.32900432900433e-06,0.000141858141858142,3.66300366300366e-06
daPseLute1,0.00517727424191936,0.266484505164945,0.192067310896368,0.0818583805398201,0.378177940686438,0.0126994335221593,0.00276641119626791,0.0564338553815395,0.000183605464845052,1.33288903698767e-05,0.00016861046317894,0.000183938687104299,0.00354348550483172,0.000107297567477508,8.99700099966678e-06,5.6647784071976e-06,6.66444518493835e-07,5.79806731089637e-05,6.13128957014328e-05
daPulDyse1,0.00440026684456304,0.273671114076051,0.216996330887258,0.0269839893262175,0.369961974649766,0.0405677118078719,0.00163408939292862,0.0654913275517011,3.43562374916611e-05,2.10140093395597e-05,5.30353569046031e-05,6.60440293529019e-05,3.20213475650434e-05,3.13542361574383e-05,3.83589059372915e-05,1.00066711140761e-05,1.66777851901268e-06,2.33488992661775e-06,3.00200133422282e-06
daScuGale1,0.0174806795469687,0.222437708194537,0.228351432378414,0.0525532978014657,0.420264823451033,0.0300899400399734,0.00127981345769487,0.0224876748834111,0.000167554963357761,0,3.6309127248501e-05,0.0020236508994004,0.000550966022651566,0.000311125916055963,0.000407395069953364,0.000135243171219187,9.99333777481679e-07,0.000594270486342438,0.00082711525649567
daScuMino1,0.0273463333333333,0.275162,0.201206666666667,0.0323686666666667,0.375828333333333,0.033164,0.00368333333333333,0.0460253333333333,0.000171,0.000348666666666667,6.86666666666667e-05,0.00104233333333333,1.96666666666667e-05,0.000524,0.00102266666666667,0.000107333333333333,7.66666666666667e-06,0.000862666666666667,0.00104066666666667
daSolDulc1,0.00667066267066267,0.13429304029304,0.291653346653347,0.328961704961705,0.0264345654345654,0.00997935397935398,0.0154745254745255,0.175016983016983,0.0111451881451881,6.32700632700633e-06,8.02530802530803e-05,1.73160173160173e-05,3.72960372960373e-05,0.000176157176157176,8.65800865800866e-06,5.99400599400599e-06,9.65700965700966e-06,7.99200799200799e-06,2.0979020979021e-05
daVerOffi1,0.00714890073284477,0.130610259826782,0.417919053964024,0.148992338441039,0.282744836775483,0.00620886075949367,0.00182744836775483,0.00414090606262492,0.000214856762158561,3.3311125916056e-07,2.59826782145237e-05,1.46568954030646e-05,8.42771485676216e-05,3.59760159893404e-05,5.66289140572951e-06,8.32778147901399e-06,7.99467021985343e-06,4.33044636908727e-06,4.99666888740839e-06
dcAgrGith1,0.00963575717144763,0.314830553702468,0.312717144763175,0.0315413609072715,0.311745496997999,0.0135450300200133,0.00151634422948632,0.00373315543695797,0.000311207471647765,3.33555703802535e-06,1.63442294863242e-05,2.23482321547698e-05,0.000143762508338893,3.70246831220814e-05,1.16744496330887e-05,3.70246831220814e-05,2.20146764509673e-05,0.00011440960640427,1.60106737825217e-05
dcCheAlbu1,0.0323174391463821,0.613490163387796,0.162738246082027,0.102880626875625,0.0815841947315772,0.0033137712570857,0.00156018672890964,0.000767255751917306,0.000992664221407136,2.46748916305435e-05,1.00033344448149e-05,8.60286762254085e-05,7.5025008336112e-05,3.13437812604201e-05,2.93431143714571e-05,1.66722240746916e-06,2.73424474824942e-05,2.5675225075025e-05,4.43481160386796e-05
dcPolAvic1,0.149067310896368,0.314351882705765,0.323624458513829,0.0923215594801733,0.109390869710097,0.00548383872042652,0.00281539486837721,0.00194268577140953,0.000186937687437521,6.33122292569144e-06,0.000106631122959014,2.19926691102966e-05,0.00014595134955015,2.86571142952349e-05,1.46617794068644e-05,0.000101299566811063,3.49883372209264e-05,7.6974341886038e-05,0.000277574141952682
dcSpeBocc1,0.0315455151717239,0.336104034678226,0.27050883627876,0.0330136712237412,0.204550183394465,0.0104658219406469,0.0321480493497833,0.00116838946315438,0.00031943981327109,1.00033344448149e-06,0.0775065021673891,0.00032810936978993,0.000212737579193064,0.000357452484161387,0.00111837279093031,0.000351783927975992,9.83661220406802e-05,5.00166722240747e-06,0.00019673224408136
ddBarVulg1,0.0221943981327109,0.0682550850283428,0.199342447482494,0.188626875625208,0.100419139713238,0.0146115371790597,0.0168342780926976,0.0125825275091697,0.000183394464821607,1.83394464821607e-05,0.00115238412804268,6.36878959653218e-05,0.374316438812938,1.70056685561854e-05,0.00133044348116039,0,5.00166722240747e-06,4.53484494831611e-05,1.66722240746916e-06
ddEupLath1,0.39907161892072,0.15080946035976,0.219027981345769,0.15570652898068,0.039628580946036,0.00831812125249833,0.00388141239173884,0.0163484343770819,0.000676882078614257,1.6655562958028e-06,1.69886742171885e-05,0.000346102598267821,0.00603530979347102,2.93137908061292e-05,1.99866755496336e-06,4.99666888740839e-06,3.19786808794137e-05,1.29913391072618e-05,4.96335776149234e-05
ddEupPepu3,0.0103039867109635,0.0796774086378738,0.232883056478405,0.0232435215946844,0.371127906976744,0.0733079734219269,0.00966544850498339,0.00461627906976744,0.000211960132890365,1.32890365448505e-06,0.000737209302325581,0.000247176079734219,0.00181362126245847,9.30232558139535e-06,4.28571428571429e-05,0.00011063122923588,0.000154817275747508,0.000117940199335548,0.191727574750831
ddPopNigr1,0.0961402398401066,0.263066955363091,0.34018654230513,0.0142731512325117,0.272735509660227,0.00155096602265157,0.00953864090606263,0.000869753497668221,0.000546302465023318,1.33244503664224e-06,0.000300133244503664,7.36175882744837e-05,3.73084610259827e-05,0.000635576282478348,2.86475682878081e-05,3.3311125916056e-06,6.66222518321119e-07,1.03264490339773e-05,9.99333777481679e-07
