 ,statussummary,status,asm,jira,sample,accession,species,coi,organelle,uli,sts_priority,common name,sex,genomic sex,ploidy,taxon,genus,family,family_taxon,order,phylum,BioSample,BioProject,darwin,vgp_orders,vgp_plus,asg,erga-pilot,erga-bge,tol,25g,psyche,bat1k,aegis,nematodes,britain&ireland,dnazoo,cichlids,BADASS,filr,rodents,jiggins,meier,jaron,murchison,millport,cetacean,R&D,protist-microalgae,UKbutterflies,sts size (Mb),est. size (Mb),htzgy (%),rep frac (%),long read cov (gscope),long read cov (sts),10XG cov (gscope),10XG cov (sts),last_data,sts pacbio status (new),sts hic status (new),hic_from,PacBio,ONT,10XG,Htag,BioNano,HiC,RNAseq,IsoSeq,raw data sub,submission todo,runs,contig N50 (Mb),contig count,scaffold N50 (Mb),"scaffold	count",longest (Mb),length (Mb),BUSCO,QV,completeness,pipeline status,doi,notes,"Calculated, for Family_TXID_Pivot"
,1 submitted,11_published,sm15,GRIT-120,aGeoSer1,GCA_902459505.2,Geotrypetes seraphini,,3,,,Gaboon caecilian,,,,260995,Geotrypetes,Dermophiidae,264006,Apoda,Chordata,SAMEA104387963,PRJEB33993,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,"3,600",0.8,48,56,,28,,2019-04-26,UNKNOWN,UNKNOWN,aGeoSer1,●,,●,,●,●,●,,2,rna submitted under default biosample,,20.66,596,272.61,163,550.52,"3,779","C:82.5%[S:80.9%,D:1.6%],F:8.8%,M:8.7%,n:2586",,,Submitted,10.1093/molbev/msad102,,"Dermophiidae,264006"
,1 submitted,11_published,sm15,GRIT-91,aMicUni1,GCA_901765095.2,Microcaecilia unicolor,,3,,,tiny Cayenne caecilian,,,,1415580,Microcaecilia,Siphonopidae,1277737,Apoda,Chordata,SAMEA104387962,PRJEB32739,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,300",0.6,42,44,,36,,2018-11-09,UNKNOWN,UNKNOWN,aMicUni1,●,,●,,●,●,,,2,hic submitted under default biosample,,3.65,"3,530",376.15,"1,080",772.93,"4,686","C:81.7%[S:79.5%,D:2.2%],F:9.5%,M:8.8%,n:2586",,,Submitted,10.1093/molbev/msad102,,"Siphonopidae,1277737"
,1 submitted,11_published,sm15,GRIT-56,aRhiBiv1,GCA_901001135.2,Rhinatrema bivittatum,,3,,,two-lined caecilian,,,,194408,Rhinatrema,Rhinatrematidae,30380,Apoda,Chordata,SAMEA104387956,PRJEB32113,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,408",0.5,37,34,,30,,2018-04-30,UNKNOWN,UNKNOWN,aRhiBiv1,●,,●,,●,●,●,,3,done,,3.22,"4,909",486.88,"1,337",839.68,"5,321","C:81.9%[S:80.2%,D:1.7%],F:8.2%,M:9.9%,n:2586",,,Submitted,10.1038/s41586-021-03451-0,,"Rhinatrematidae,30380"
,1 submitted,11_published,sm15,GRIT-65,fAnaTes1,GCA_900324465.3,Anabas testudineus,,3,,,climbing perch,M,,,64144,Anabas,Anabantidae,64142,Anabantiformes,Chordata,SAMEA104026376,PRJEB30393,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.6,17,48,,84,,2017-03-16,UNKNOWN,UNKNOWN,fAnaTes1,●,,●,,●,●,,,3,done,,7.06,361,26.09,69,50.48,570,"C:97.3%[S:95.1%,D:2.2%],F:1.1%,M:1.6%,n:4584",,,Annotated (e94),10.1038/s41586-021-03451-0,,"Anabantidae,64142"
,1 submitted,11_published,sm15,GRIT-111,fAstCal1,GCA_900246225.5,Astatotilapia calliptera,,3,,,eastern happy,,,,8154,Astatotilapia,Cichlidae,8113,Cichliformes,Chordata,SAMEA104026430,PRJNA557691,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,900,0.2,25,48,,112,,2017-08-15,UNKNOWN,UNKNOWN,,●,●,●,,●,,,,1,transcriptomic?; ont,,4.44,625,38.67,135,68.40,880,"C:95.9%[S:93.2%,D:2.7%],F:1.6%,M:2.5%,n:4584",,,Annotated (e94),10.1038/s41586-021-03451-0,,"Cichlidae,8113"
,1 submitted,11_published,sm15,GRIT-75,fBetSpl5,GCA_900634795.4,Betta splendens,,,,,Siamese fighting fish,M,,,158456,Betta,Osphronemidae,270602,Anabantiformes,Chordata,SAMEA104381735,PRJEB30367,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,500,0.5,16,49,,,,2018-10-08,UNKNOWN,UNKNOWN,,●,,●,,●,,,,2,illumina submitted under default biosample,,2.50,397,20.13,69,34.86,441,"C:96.4%[S:93.7%,D:2.7%],F:2.1%,M:1.5%,n:4584",,,Annotated (e98),10.1126/sciadv.abm4950,,"Osphronemidae,270602"
,1 submitted,12_public,sm15,GRIT-128,fChaCha1,GCA_902362185.1,Chanos chanos,,,,,milkfish,,,,29144,Chanos,Chanidae,29142,Gonorynchiformes,Chordata,SAMEA5159473,PRJEB33883,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,698,0.6,26,63,,78,,2019-09-14,UNKNOWN,UNKNOWN,fChaCha1,●,,●,,●,●,,,1,load pacbio and import ccs,,23.13,140,50.30,30,63.12,657,"C:95.9%[S:90.6%,D:5.3%],F:1.8%,M:2.3%,n:4584",,,Submitted,,,"Chanidae,29142"
,1 submitted,11_published,sm15,GRIT-76,fCotGob3,GCA_900634415.1,Cottoperca gobio,,,,,channel bull blenny,,,,56716,Cottoperca,Bovichtidae,36203,Perciformes,Chordata,SAMEA104242975,PRJEB30272,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.4,36,57,,,,2017-08-15,UNKNOWN,UNKNOWN,fCotGob2,●,,●,,●,●,●,,2,some rna submitted under default biosample,,5.94,767,25.16,322,30.48,609,"C:92.9%[S:90.2%,D:2.7%],F:2.2%,M:4.9%,n:4584",,,Annotated (e98),10.1038/s41586-021-03451-0,,"Bovichtidae,36203"
,1 submitted,12_public,sm15,GRIT-123,fDanAes4,GCA_903798145.1,Danio aesculapii,,,,,panther danio,F,,,1142201,Danio,Cyprinidae,2743709,Cypriniformes,Chordata,SAMEA104240212,PRJEB38584,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"1,400",1.5,40,41,,39,,2018-11-08,UNKNOWN,UNKNOWN,fDanAes4,●,,●,,●,●,,,2,hic submitted under default biosample,,1.52,"2,163",56.00,342,74.60,"1,381","C:93.9%[S:90.2%,D:3.7%],F:2.4%,M:3.7%,n:4584",,,Submitted,,,"Cyprinidae,2743709"
,1 submitted,11_published,sm15,,fDanDra1,GCA_900490495.1,Danionella dracula,,,,,dracula fish,,,,623740,Danionella,Cyprinidae,2743709,Cypriniformes,Chordata,SAMEA104026433,PRJEB39284,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,700,0.5,26,41,,,,2017-06-03,UNKNOWN,UNKNOWN,,●,,●,,,,,,3,done,,2.30,"1,614",10.29,996,39.98,665,"C:89.8%[S:85.8%,D:4.0%],F:3.2%,M:7.0%,n:4584",,,Submitted,10.12688/wellcomeopenres.21117.1,,"Cyprinidae,2743709"
